Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Wetland:Estuarine Emergent,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.8483,,,,,
,,,,,Wetland:Estuarine Emergent,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.7984,,,,,
,,,,,Wetland:Estuarine Emergent,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0067,,,,,
,,,,,Wetland:Estuarine Emergent,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,,,,Wetland:Estuarine Emergent,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,,,,Wetland:Estuarine Emergent,,,Decay: AG Very Fast -> BG Slow [Type],,0,,,,,
,,,,,Wetland:Estuarine Emergent,,,Decay: BG Fast -> BG Slow [Type],,0.0435,,,,,
,,,,,Wetland:Estuarine Emergent,,,Decay: BG Very Fast -> BG Slow [Type],,0.6286,,,,,
,,,,,Wetland:Estuarine Emergent,,,Emission: AG Fast -> Atmosphere [Type],,0.2122,,,,,
,,,,,Wetland:Estuarine Emergent,,,Emission: AG Medium -> Atmosphere [Type],,0.0553,,,,,
,,,,,Wetland:Estuarine Emergent,,,Emission: AG Slow -> Atmosphere [Type],,0.0338,,,,,
,,,,,Wetland:Estuarine Emergent,,,Emission: AG Very Fast -> Atmosphere [Type],,0.8181,,,,,
,,,,,Wetland:Estuarine Emergent,,,Emission: BG Fast -> Atmosphere [Type],,0.2122,,,,,
,,,,,Wetland:Estuarine Emergent,,,Emission: BG Slow -> Atmosphere [Type],,0.6611,,,,,
,,,,,Wetland:Estuarine Emergent,,,Emission: BG Very Fast -> Atmosphere [Type],,0.3038,,,,,
,,,,,Wetland:Estuarine Emergent,,,Emission: Snag Branch -> Atmosphere [Type],,0.1061,,,,,
,,,,,Wetland:Estuarine Emergent,,,Emission: Snag Stem -> Atmosphere [Type],,0.0276,,,,,
,,,,,Wetland:Estuarine Emergent,,,Lateral Transport: AG Very Fast -> Aquatic [Type],,0.1819,,,,,
,,,,,Wetland:Estuarine Emergent,,,Lateral Transport: BG Slow -> Aquatic [Type],,0.147,,,,,
,,,,,Wetland:Estuarine Emergent,,,Lateral Transport: BG Very Fast -> Aquatic [Type],,0.0676,,,,,
,,,,,Wetland:Estuarine Emergent,,,Net Growth Wetland Emergent: Atmosphere -> Fine Roots [Type],,0.801,,,,,
,,,,,Wetland:Estuarine Emergent,,,Net Growth Wetland Emergent: Atmosphere -> Foliage [Type],,0.199,,,,,
,,,,,Wetland:Estuarine Emergent,,,Stabilization: BG Slow -> Deep Soil [Type],,0.1919,,,,,
,,,,,Wetland:Estuarine Emergent,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,,,,Wetland:Estuarine Emergent,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,,,,Wetland:Estuarine Emergent,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,,,,Wetland:Palustrine Emergent,,,AG Very Fast ->,,0.6045,,,,,
,,,,,Wetland:Palustrine Emergent,,,BG Slow ->,,0.0194,,,,,
,,,,,Wetland:Palustrine Emergent,,,BG Very Fast ->,,0.6505,,,,,
,,,,,Wetland:Palustrine Emergent,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.01,,,,,
,,,,,Wetland:Palustrine Emergent,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.01,,,,,
,,,,,Wetland:Palustrine Emergent,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.8634,,,,,
,,,,,Wetland:Palustrine Emergent,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.8705,,,,,
,,,,,Wetland:Palustrine Emergent,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0067,,,,,
,,,,,Wetland:Palustrine Emergent,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,,,,Wetland:Palustrine Emergent,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,,,,Wetland:Palustrine Emergent,,,Decay: AG Very Fast -> BG Slow [Type],,0,,,,,
,,,,,Wetland:Palustrine Emergent,,,Decay: BG Fast -> BG Slow [Type],,0.0435,,,,,
,,,,,Wetland:Palustrine Emergent,,,Decay: BG Very Fast -> BG Slow [Type],,0.4603,,,,,
,,,,,Wetland:Palustrine Emergent,,,Emission: AG Fast -> Atmosphere [Type],,0.2122,,,,,
,,,,,Wetland:Palustrine Emergent,,,Emission: AG Medium -> Atmosphere [Type],,0.0553,,,,,
,,,,,Wetland:Palustrine Emergent,,,Emission: AG Slow -> Atmosphere [Type],,0.0338,,,,,
,,,,,Wetland:Palustrine Emergent,,,Emission: AG Very Fast -> Atmosphere [Type],,0.9959,,,,,
,,,,,Wetland:Palustrine Emergent,,,Emission: BG Fast -> Atmosphere [Type],,0.2122,,,,,
,,,,,Wetland:Palustrine Emergent,,,Emission: BG Slow -> Atmosphere [Type],,0.7446,,,,,
,,,,,Wetland:Palustrine Emergent,,,Emission: BG Very Fast -> Atmosphere [Type],,0.5375,,,,,
,,,,,Wetland:Palustrine Emergent,,,Emission: Snag Branch -> Atmosphere [Type],,0.1061,,,,,
,,,,,Wetland:Palustrine Emergent,,,Emission: Snag Stem -> Atmosphere [Type],,0.0276,,,,,
,,,,,Wetland:Palustrine Emergent,,,Lateral Transport: AG Very Fast -> Aquatic [Type],,0.0041,,,,,
,,,,,Wetland:Palustrine Emergent,,,Lateral Transport: BG Slow -> Aquatic [Type],,0.0031,,,,,
,,,,,Wetland:Palustrine Emergent,,,Lateral Transport: BG Very Fast -> Aquatic [Type],,0.0022,,,,,
,,,,,Wetland:Palustrine Emergent,,,Net Growth Wetland Emergent: Atmosphere -> Fine Roots [Type],,0.8375,,,,,
,,,,,Wetland:Palustrine Emergent,,,Net Growth Wetland Emergent: Atmosphere -> Foliage [Type],,0.1625,,,,,
,,,,,Wetland:Palustrine Emergent,,,Stabilization: BG Slow -> Deep Soil [Type],,0.2523,,,,,
,,,,,Wetland:Palustrine Emergent,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,,,,Wetland:Palustrine Emergent,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,,,,Wetland:Palustrine Emergent,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,,,Elm/Ash/Cottonwood Group,Forest:All,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.01,,,,,
,,,,Elm/Ash/Cottonwood Group,Forest:All,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.01,,,,,
,,,,Elm/Ash/Cottonwood Group,Forest:All,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.3205,,,,,
,,,,Elm/Ash/Cottonwood Group,Forest:All,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.3205,,,,,
,,,,Elm/Ash/Cottonwood Group,Forest:All,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.95,,,,,
,,,,Elm/Ash/Cottonwood Group,Forest:All,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0067,,,,,
